Game Type,Home,Away,Game,Team,Squad,Number,ACTION,Danger,Notes,Contested/Uncontested Chance,Period,Strength,,Team Totals All Situations: VAUGHAN KINGS,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,91,P,MD,,,,PP,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,4,B,MD,,,,PP,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,34,P,MD,,,,PP,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,17,S,MD,,C,,PP,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,4,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,11,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,13,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,13,P,MD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,16,S,MD,,C,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,10,D,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,77,S,HD,,U,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,3,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,91,D,,,,,PP,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,4,D,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,98,P,MD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,4,B,MD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,18,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,18,P,MD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,34,S,MD,,C,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,10,GOAL,LD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,18,D,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,91,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,11,B,LD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,63,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,3,B,LD,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,16,D,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,14,D,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,York Simcoe Express,Y,18,CE,,,,,EV,,,,,
OHL Cup,York Simcoe Express,Huron Perth Lakers,York Simcoe Express vs. Huron Perth Lakers,Huron Perth Lakers,H,10,CE,,,,,EV,,,,,
